"","FID_1","modelLessVarsPredictedNoLabels"
"661","NT/60012/23912","WB"
"662","NT/59912/22278","SB"
"663","NT/59741/28160","PGRS"
"664","NT/59685/24088","SB"
"665","NT/58086/21107","PGRS"
"666","NT/57388/29798","PGRS"
"667","NT/57088/26474","PGRS"
"668","NT/57089/26478","PGRS"
"669","NT/57169/26417","PGRS"
"670","NT/57054/26414","PGRS"
"671","NT/57121/26517","PGRS"
"672","NT/56776/34357","SB"
"673","NT/58344/34712","WBS"
"674","NT/57135/33574","WW"
"675","NT/57179/33009","PGRS"
"676","NT/59571/32541","PGRS"
"677","NT/57534/32329","PGRS"
"678","NT/57276/33679","WO"
"679","NT/57324/35029","PGRS"
"680","NT/57568/33999","PGRS"
"681","NT/58301/33479","SB"
"682","NT/58281/33624","PGRS"
"683","NT/57251/35544","PGRS"
"684","NT/58837/32695","SB"
"685","NT/58832/35913","PGRS"
"686","NT/59088/35888","PGRS"
"687","NT/57492/35280","PGRS"
"688","NT/57509/35188","PGRS"
"689","NT/59493/36301","WB"
"690","NT/57245/35261","PGRS"
"691","NT/57842/32613","PGRS"
"692","NT/57692/33705","PGRS"
"693","NT/57162/32750","PGRS"
"694","NT/56817/33848","PGRS"
"695","NT/58300/34739","PGRS"
"696","NT/57413/32455","WW"
"697","NT/57591/32561","PGRS"
"698","NT/57870/33200","PGRS"
"699","NT/59023/34005","PGRS"
"700","NT/58668/34507","WOSR"
"701","NT/58747/35657","PGRS"
"702","NT/57825/32455","PGRS"
"703","NT/58112/33135","PGRS"
"704","NT/58211/32675","PGRS"
"705","NT/58218/34873","PGRS"
"706","NT/59230/35336","PGRS"
"707","NT/57522/36834","PGRS"
"708","NT/58750/36143","SB"
"709","NT/59395/36511","PGRS"
"710","NT/58457/35988","PGRS"
"711","NT/58364/39881","PGRS"
"712","NT/57683/36003","PGRS"
"713","NT/58952/39594","SB"
"714","NT/57074/31068","PGRS"
"715","NT/57974/30912","PGRS"
"716","NT/58522/38843","SB"
"717","NT/59081/36232","PGRS"
"718","NT/57306/37691","PGRS"
"719","NT/59372/36619","PGRS"
"720","NT/58974/38878","SB"
"721","NT/59580/38036","WW"
"722","NT/58126/32346","PGRS"
"723","NT/58140/32580","PGRS"
"724","NT/57883/39375","PGRS"
"725","NT/58450/30752","WO"
"726","NT/58880/30136","PGRS"
"727","NT/58122/32521","PGRS"
"728","NT/58128/32610","PGRS"
"729","NT/57414/35374","PGRS"
"730","NT/57596/33298","PGRS"
"731","NT/58710/39220","WOSR"
"732","NT/57343/32754","PGRS"
"733","NT/57861/30960","PGRS"
"734","NT/58029/30708","PGRS"
"735","NT/58891/38484","PGRS"
"736","NT/58630/30954","SB"
"737","NT/58662/38693","PGRS"
"738","NT/59262/40002","WOSR"
"739","NT/57199/39531","PGRS"
"740","NT/58253/30978","PGRS"
"741","NT/58049/30930","WBS"
"742","NT/58224/31294","PGRS"
"743","NT/58804/36561","PGRS"
"744","NT/58554/31535","PGRS"
"745","NT/58721/32943","SB"
"746","NT/58559/30427","PGRS"
"747","NT/59192/30420","PGRS"
"748","NT/58333/36193","PGRS"
"749","NT/58521/39958","PGRS"
"750","NT/57141/39817","PGRS"
"751","NT/58402/35798","WBS"
"752","NT/59653/36623","WBS"
"753","NT/56811/38187","PGRS"
"754","NT/58389/39965","PGRS"
"755","NT/57919/39850","WBS"
"756","NT/57286/39564","PGRS"
"757","NT/58487/35012","SB"
"758","NT/58275/37425","PGRS"
"759","NT/58590/32537","SB"
"760","NT/59282/39301","PGRS"
"761","NT/59026/31035","PGRS"
"762","NT/57967/38935","PGRS"
"763","NT/57347/31386","WOSR"
"764","NT/59052/38363","WOSR"
"765","NT/59136/38263","WOSR"
"766","NT/57872/37434","PGRS"
"767","NT/58764/36733","PGRS"
